ticker,quarter,date,mean_positive,mean_neutral,mean_negative,std_positive,std_neutral,std_negative,polarity_score,polarity_std,max_positive,min_negative,num_paragraphs
AAPL,Q1,2018-02-01,0.09676221530470583,0.8289831157911707,0.07425466614464919,0.14667628981270225,0.18621149135586632,0.13596560717644018,0.022507549160056643,0.21290007108632777,0.9243873357772827,0.011654620990157127,108
AAPL,Q4,2018-11-01,0.11748211474829837,0.8121104242775259,0.0704074594062529,0.17921926392720877,0.221360320582674,0.13129748840108107,0.04707465534204546,0.22297255425626797,0.9487611055374146,0.00902596116065979,79
AAPL,Q2,2020-04-30,0.11599814632581067,0.790377775245567,0.09362407492416114,0.1453532127181743,0.23206576806275162,0.187405356129334,0.02237407140164953,0.24216136426561402,0.7369725108146667,0.009013828821480274,97
INTC,Q1,2019-01-24,0.11490427859629808,0.7874049523824387,0.09769076609125968,0.15629028699797134,0.24335292779566986,0.20472334765174993,0.0172135125050384,0.2710276009484825,0.9453758001327515,0.011454989202320576,89
INTC,Q4,2019-10-24,0.27969857299015155,0.6238088913001313,0.09649253307981658,0.33390599809644816,0.36049616399841683,0.21650685818731555,0.183206039910335,0.43217980620796104,0.9606838822364807,0.007216910365968943,193
INTC,Q2,2019-04-25,0.10988198106901513,0.7658105991178691,0.12430741422518034,0.13862020913229903,0.27224732960201414,0.23870053591499613,-0.014425433156165209,0.2797649207304653,0.7798339128494263,0.011100728064775467,99
INTC,Q3,2017-07-27,0.14493394034824011,0.779118138505558,0.075947922572032,0.2121375263715826,0.2514651979840447,0.13649017602141003,0.06898601777620811,0.25303962063550567,0.9465089440345764,0.012781885452568531,113
INTC,Q3,2016-07-20,0.20492759213140868,0.7040438525270201,0.09102855225826062,0.20768723929599195,0.257651995012966,0.18222726185043858,0.11389903987314805,0.29376347055191454,0.7913817763328552,0.0078129256144166,103
INTC,Q3,2018-07-26,0.1598790214113567,0.7850437267319016,0.055077250099376494,0.23821539432149244,0.2563527708154214,0.12571249296300566,0.10480177131198022,0.2817510729500414,0.9548478126525879,0.009646723046898842,115
INTC,Q4,2018-10-25,0.11907959365669418,0.8262441159171217,0.05467628761030295,0.1730421968346057,0.19434157702234695,0.08409408534691919,0.06440330604639123,0.19042632304243567,0.9093641638755798,0.008364638313651085,85
INTC,Q1,2018-01-25,0.13452399230306655,0.8033217547576775,0.06215425370574261,0.19374807782356235,0.22469469091629232,0.1232903532863824,0.07236973859732394,0.23449936380848305,0.9436430335044861,0.012127191759645939,113
